pathway	0g	125g	250g	500g
ANAGLYCOLYSIS-PWY	841.3369068540943	10806.798883569243	1948.64492069326	1267.2466822109925
ARGSYN-PWY	0.0	2541.4517567005264	645.1476924127192	626.2736912838939
CALVIN-PWY	1809.9987198634522	14131.029611173532	2618.964328454469	1720.5824900675598
COA-PWY	1294.0	10221.260284694028	1872.2050734312418	1225.2778457772338
COLANSYN-PWY	0.0	1047.6016682309685	953.4104783133156	634.2051638018901
FAO-PWY	3200.3713292873304	28799.868358578125	4841.943506503955	3469.3530694485385
FASYN-ELONG-PWY	5071.017988695528	19617.574793151427	4383.0889151495685	2582.9852595809202
GLUCONEO-PWY	0.0	11339.248081649745	1402.6118308515138	930.8923099634167
GLUCOSE1PMETAB-PWY	1094.9674543022738	1641.4462062169669	634.498023715415	417.60482250502344
GLUTORN-PWY	0.0	644.6427894144592	176.26830137900097	194.58284904991757
GLYCOCAT-PWY	1275.4891635349716	2830.5343322777476	950.8075024679172	625.0466165413534
GLYCOGENSYNTH-PWY	0.0	1943.6860262455962	644.6975271509776	431.9862888664666
GLYOXYLATE-BYPASS	2864.363435343513	23471.268326388148	4074.7112947690994	2689.525527299867
HEME-BIOSYNTHESIS-II	1447.0607004861026	10655.942928949644	2098.2146196886447	1406.1474413121057
HSERMETANA-PWY	0.0	175.63499168129104	601.7715680180166	292.9927055441342
LEU-DEG2-PWY	0.0	570.8670257531562	446.6144095125091	94.83991460542968
NAD-BIOSYNTHESIS-II	890.5191699751388	12015.353671272534	1840.5568394250738	1302.7870645754215
NONOXIPENT-PWY	2008.4663445721967	14596.35707297861	2862.707165150717	2085.1454428208654
P221-PWY	476.2422235727644	3059.3262057665156	823.9819209997951	1015.4323296368372
PANTO-PWY	1614.0031708034885	12405.096387690699	2330.044444286509	1567.775376502967
PANTOSYN-PWY	1303.5573757478157	5299.3632603944225	1111.511852281811	858.506065153384
PENTOSE-P-PWY	986.0861858062841	11806.2805040167	2217.9570653904357	1483.7945671119692
PHOSLIPSYN-PWY	0.0	192.65345664333955	186.81128966546024	29.556816683459488
PWY-3781	2459.018854171394	47547.300755246826	7881.815760197094	5193.874454092521
PWY-4984	1483.6379564204983	10890.425745400084	2051.7558453684696	1395.0498655424071
PWY-5189	1590.5481767688964	10987.456271797982	2012.1882190084666	1330.4692008460909
PWY-5651	1256.9247429853617	1988.703133238476	771.7211937032321	530.8321831182839
PWY-5659	1908.3324160678844	14893.14665851641	3141.2982904052624	1982.9501866914593
PWY-5667	831.185996326402	10634.366333474618	1845.2579243481393	1328.0328805190384
PWY-5695	191.25777041436294	889.9153614545046	1125.053038188007	600.2238292244566
PWY-5920	1515.4154809502668	10817.636858351512	2043.7684398730873	1359.0557013188754
PWY-5989	856.8282022296327	3385.624613532353	1277.1125620912069	825.1630972548377
PWY-6121	224.03047091412745	421.8420302929586	390.0693481276006	157.09821428571428
PWY-6122	185.65279770444764	340.2686710072769	325.44648023143685	128.94045801526718
PWY-6125	1572.974330889316	12140.093414742838	2497.3974720239803	1651.6623811187876
PWY-6126	1832.2005286870578	14699.944095579398	2913.8242477348444	1923.4702362701325
PWY-621	1785.1626650968253	3927.350304536543	1209.3686667745367	786.4382951447965
PWY-6277	185.65279770444764	340.2686710072769	325.44648023143685	128.94045801526718
PWY-6317	1478.857142857143	7241.047819414563	1767.8130824032887	1167.751555445357
PWY-6545	370.89058034310835	11111.437239910487	1927.1564913927966	1048.4520869607568
PWY-6608	194.84801648634723	892.3760323017243	1176.829486048942	621.4536597569954
PWY-6609	132.46346555323592	601.6449019581527	855.9501130679092	441.95588667777673
PWY-6737	1388.754311563472	2279.983077561178	815.3227990970654	536.2534403669724
PWY-7007	1529.4351623049638	4707.183544758972	2686.155968972091	1623.8533904742499
PWY-7111	2153.0793313986724	17185.487194042238	3119.22269518889	2139.643740513919
PWY-7184	1548.6503474078033	11923.72501016877	2562.283072450819	1645.9483498456902
PWY-7196	0.0	203.6253390504795	653.7582960450538	321.7577853348546
PWY-7197	1294.0	10360.218222179328	2190.74565701559	1387.6503198294242
PWY-7198	298.1566820276497	10249.350259443514	1681.8068512644907	892.6491617897825
PWY-7208	1478.857142857143	11796.911500125047	2335.7115404054443	1509.0683734648985
PWY-7209	0.0	556.6055154785867	559.1560832253224	428.3591342406901
PWY-7210	393.5523114355231	10834.424770955662	1912.442089240535	1048.1996597247928
PWY-7219	2265.616658945918	17958.948612949036	3404.211102246203	2442.0771667835465
PWY-7220	1552.8000000000002	12528.307200092237	2971.9275177563286	1836.065896930442
PWY-7221	1670.0420899854864	11911.923904891248	2472.8588132347973	1606.7011122307413
PWY-7222	1552.8000000000002	12528.307200092237	2971.9275177563286	1836.065896930442
PWY-7228	1631.6006443937365	12511.179585188835	2676.776694596299	1720.494659986381
PWY-7229	1968.6686519881473	15768.40776867957	2974.956555785339	1997.919916629172
PWY-7323	0.0	733.6986888032983	940.3427032631954	645.0485788743005
PWY-7328	0.0	551.8656187814503	239.00514124754397	137.57493901124624
PWY-7347	0.0	421.2477862566082	209.4086143518445	193.5956799651883
PWY-7385	724.555993507999	9993.876196579537	1735.5350117258845	1111.9538902095205
PWY-7431	4246.571533328445	14323.61726600142	3280.2492572637093	2502.3861397181845
PWY-7663	627.8573440005462	3448.5439021336338	1244.7317540237984	786.5452157775775
PWY-922	1428.525080698878	11077.323093992361	2057.145221496078	1356.915722562281
PWY0-1319	831.1859963264019	10634.366333474618	1845.2579243481393	1328.0328805190384
PWY0-166	1515.1882530120483	11317.939682334321	2440.030156429099	1579.2173091617858
